,State,Year,TotalBallots,PercentVotingEligibleVotes,PercentBachelors,Income,PercentWhite,AverageAge,Presidential,YearsSince2000
423,Iowa,2016,1581371.0,69.0996777,28.4,73.59,86.57000000000001,39.28900475,1,16
424,Kansas,2016,1225667.0,59.67147430000001,32.8,70.74,76.48,38.01022364,1,16
425,Kentucky,2016,1955195.0,59.56565583,23.4,56.5,85.18,39.23017002,1,16
426,Louisiana,2016,2049531.0,60.557552439999995,23.4,52.54,59.36,38.10762609,1,16
427,Maine,2016,771892.0,72.93201256,30.1,63.33,93.56,42.58123358,1,16
428,Maryland,2016,2807322.0,67.00666600000001,39.3,91.85,51.4,38.99882182,1,16
429,Massachusetts,2016,3378801.0,68.28581002,42.7,89.99,72.61999999999999,40.02226585,1,16
430,Michigan,2016,4874619.0,65.6901141,28.3,71.09,75.62,39.78928148,1,16
431,Minnesota,2016,2968281.0,74.70749048,34.8,87.44,80.71000000000001,38.85668193,1,16
433,Missouri,2016,2811549.0,62.23097993,28.5,68.51,79.83,39.27648355,1,16
434,Montana,2016,516901.0,64.27118433,31.0,71.07,86.61,40.53620333,1,16
435,Nebraska,2016,860573.0,64.0392582,31.4,73.93,79.96,38.12585366,1,16
436,Nevada,2016,1125429.0,57.37339205000001,23.5,69.02,49.86,38.75325215,1,16
437,New Hampshire,2016,755850.0,72.48308632,36.6,94.96,91.06,41.36126384,1,16
438,New Jersey,2016,3957303.0,65.80527719,38.6,85.26,55.730000000000004,39.43854063,1,16
439,New Mexico,2016,804043.0,54.90165686,27.2,60.33,37.92,39.13087612,1,16
440,New York,2016,7786881.0,57.236929,35.7,76.5,55.58,39.4222043,1,16
